Date,Month,NIID,NHSL,Polonnaruwa,Ragama,Karapitiya,Anuradhapura,Kurunegala,Jaffna,Kandy,Batticaloa,Gampaha,Negombo,Ratnapura,Badulla,Lady Ridgeway,De Zoysa,Kalubowila,CSHW
9,3,59,2,0,1,5,0,1,0,0,0,0,3,0,0,0,0,0,0
10,3,61,2,0,1,5,0,1,0,0,0,1,3,0,0,0,0,0,0
11,3,64,2,0,1,5,0,1,0,0,0,1,3,0,0,0,0,0,0
12,3,66,2,0,1,5,2,1,0,0,0,4,5,0,0,0,0,0,0
13,3,67,2,0,2,5,2,1,0,0,0,4,5,0,0,0,0,0,0
14,3,68,2,0,2,5,2,1,0,1,0,4,5,0,0,0,0,0,0
15,3,72,2,0,2,8,2,1,0,1,0,4,6,0,0,0,0,0,0
16,3,73,3,0,2,8,2,1,0,3,0,4,6,0,0,0,0,0,0
17,3,74,3,4,2,10,2,1,0,5,0,4,12,0,0,0,0,0,0
18,3,74,4,5,2,11,2,1,0,5,0,4,12,0,0,0,0,0,0
19,3,75,4,5,2,12,2,1,0,5,0,4,12,0,0,0,0,0,0
20,3,76,4,5,2,12,2,1,0,5,0,4,12,0,0,0,0,0,0
