Date,Month,NIID,NHSL,Ragama,Karapitiya,Anuradhapura,Kurunegala,Jaffna,Kandy,Batticaloa,Gampaha,Negombo,Ratnapura,Badulla,Lady Ridgeway,De Zoysa,Polonnaruwa,Kalubowila,CSHW,Hambanthota,Monaragala,Welikanda
4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,3,1,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
13,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,4,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,3,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,1,0,0,2,0,0,0,2,0,0,6,0,0,0,0,4,0,0,0,0,0
18,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
