Date,Month,NIID,NHSL,Ragama,Karapitiya,Anuradhapura,Kurunegala,Jaffna,Kandy,Batticaloa,Gampaha,Negombo,Ratnapura,Badulla,Lady Ridgeway,De Zoysa,Polonnaruwa,Kalubowila,CSHW,Hambanthota,Monaragala,Welikanda
4,3,105,9,2,15,1,11,1,15,0,9,18,7,4,2,0,0,0,0,0,0,0
5,3,105,9,2,15,2,11,1,15,0,9,18,7,4,2,0,0,0,0,0,0,0
6,3,106,9,2,16,2,13,1,15,0,9,18,9,4,2,0,0,0,0,0,0,0
7,3,108,9,2,16,2,13,1,15,0,9,19,11,5,2,0,0,0,0,0,0,0
8,3,112,9,2,16,2,13,1,15,0,9,19,11,5,2,0,0,0,0,0,0,0
9,3,117,9,2,16,2,13,1,15,0,9,26,12,5,2,0,0,0,0,0,0,0
10,3,117,9,2,20,2,14,1,15,0,9,26,12,5,2,0,0,0,0,0,0,0
11,3,123,9,2,20,2,15,1,15,0,9,27,12,5,3,0,0,0,0,0,0,0
12,3,124,10,3,22,3,15,1,18,0,9,29,12,5,4,0,0,0,0,0,0,0
13,3,142,11,8,29,5,20,2,25,0,14,34,12,6,6,1,0,0,0,0,0,0
14,3,159,12,8,35,7,29,3,28,1,20,35,14,7,8,1,0,0,0,0,0,0
15,3,170,14,10,40,9,34,3,28,2,20,48,24,8,10,1,17,0,0,0,0,0
16,3,216,26,14,60,9,47,3,32,2,28,56,30,10,12,2,23,9,0,0,0,0
17,3,224,34,16,68,13,53,4,34,3,32,56,36,11,14,2,32,12,0,0,0,0
18,3,352,38,21,71,17,68,5,37,5,36,66,43,12,17,2,36,16,0,0,0,0
19,3,399,42,28,75,23,81,7,42,8,42,69,52,15,20,2,41,16,0,0,0,0
20,3,431,54,46,78,27,84,9,44,8,51,69,56,15,21,2,46,16,1,0,0,0
21,3,459,59,51,82,34,91,10,47,10,65,81,62,21,21,2,46,16,2,18,11,16
22,3,473,63,61,89,34,101,10,49,11,76,97,65,21,22,2,48,16,5,33,12,16
