Date,Month,NIID,NHSL,Ragama,Karapitiya,Anuradhapura,Kurunegala,Jaffna,Kandy,Batticaloa,Gampaha,Negombo,Ratnapura,Badulla,Lady Ridgeway,De Zoysa,Polonnaruwa,Kalubowila,CSHW,Hambanthota,Monaragala,Welikanda
4,3,8,0,0,2,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
5,3,2,0,0,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
6,3,3,0,0,1,1,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
7,3,2,0,0,1,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
8,3,2,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
9,3,3,0,0,0,0,2,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
10,3,2,0,0,4,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
11,3,6,0,0,0,0,2,0,0,0,0,5,1,0,1,0,0,1,0,0,0,0
12,3,7,1,1,2,1,2,0,3,0,0,2,1,0,1,0,0,0,0,0,0,0
13,3,19,1,5,6,2,7,1,7,0,5,5,1,1,2,0,0,0,0,0,0,0
14,3,34,1,5,8,3,16,2,3,1,13,6,3,2,3,0,0,0,0,0,0,0
15,3,41,3,4,1,2,14,2,1,1,13,14,12,0,4,0,12,0,0,0,0,0
16,3,79,11,8,12,2,25,0,2,1,15,15,16,2,2,1,10,3,0,0,0,0
17,3,71,19,6,13,6,13,1,2,1,14,9,12,2,2,0,15,3,0,0,0,0
18,3,80,12,13,3,8,20,1,4,2,13,13,7,2,3,0,23,4,0,0,0,0
19,3,83,7,16,5,14,23,2,6,3,16,14,14,4,4,0,28,0,0,0,0,0
20,3,84,12,16,3,17,12,2,2,0,19,13,9,0,3,0,20,0,1,0,0,0
21,3,84,13,16,4,10,7,1,4,2,23,16,9,6,0,0,16,0,1,4,9,16
22,3,80,7,17,11,0,11,1,2,1,26,13,5,0,1,0,15,0,1,1,8,17
