"id","cluster_name","lat","long","created_at","updated_at"
1,"katunayake","7.1725000","79.8853000","2020-03-28 13:15:19","2020-03-28 13:15:19"
2,"Mattegoda","6.8135000","79.9724000","2020-03-28 13:17:38","2020-03-28 13:17:38"
3,"Colombo","6.9271000","79.8612000","2020-03-28 13:21:43","2020-03-28 13:21:43"
4,"Mahara","6.9909000","79.9396000","2020-03-28 13:25:10","2020-03-28 13:25:10"
5,"Udubeddawa","7.4853000","79.9675000","2020-03-28 13:25:47","2020-03-28 13:25:47"
6,"Dunkannawa","7.4197000","79.9100000","2020-03-28 13:28:20","2020-03-28 13:28:20"
7,"Borella","6.9122000","79.8829000","2020-03-28 13:28:40","2020-03-28 13:28:40"
8,"Mt. Lavinia","6.8301000","79.8801000","2020-03-28 13:29:55","2020-03-28 13:29:55"
9,"Galle","6.0535000","80.2210000","2020-03-28 13:30:33","2020-03-28 13:30:33"
10,"Akuregoda","6.8937000","79.9480000","2020-03-28 13:32:16","2020-03-28 13:32:16"
11,"Rajagiriya","6.9094000","79.8943000","2020-03-28 13:33:49","2020-03-28 13:33:49"
12,"Bauddaloka Mawatha","6.9027660","79.8702880","2020-03-28 13:35:03","2020-03-28 13:35:03"
13,"Kandakadu QC","8.0871000","81.1770000","2020-03-28 13:35:54","2020-03-28 13:35:54"
14,"Galkanda","7.4114000","80.5681000","2020-03-28 13:36:45","2020-03-28 13:36:45"
15,"Marawila","7.4239000","79.8353000","2020-03-28 13:37:22","2020-03-28 13:37:22"
16,"Ratnapura","6.7056000","80.3847000","2020-03-28 13:38:03","2020-03-28 13:38:03"
17,"Baticloa QC","7.7310000","81.6747000","2020-03-28 13:40:56","2020-03-28 13:40:56"
18,"Vauniya QC","8.7542000","80.4982000","2020-03-28 13:41:58","2020-03-28 13:41:58"
19,"Udugampola","7.1264000","79.9780000","2020-03-28 13:42:40","2020-03-28 13:42:40"
20,"Kelaniya","6.9518000","79.9133000","2020-03-28 13:43:58","2020-03-28 13:43:58"
21,"Wattala","6.9907000","79.8932000","2020-03-28 13:45:00","2020-03-28 13:45:00"
22,"Nelundeniya","7.2308000","80.2600000","2020-03-28 13:46:31","2020-03-28 13:46:31"
23,"Kalutara South","6.5818000","79.9619000","2020-03-28 13:47:04","2020-03-28 13:47:04"
24,"Waikkala","7.2838000","79.8578000","2020-03-28 13:48:50","2020-03-28 13:48:50"
25,"Morawaka","6.2653000","80.4910000","2020-03-28 13:49:22","2020-03-28 13:49:22"
26,"Bandaragama","6.7144000","79.9891000","2020-03-28 13:49:59","2020-03-28 13:49:59"
27,"Beruwala","6.4738000","79.9920000","2020-03-28 13:51:17","2020-03-28 13:51:17"
28,"Malabe","6.9061000","79.9696000","2020-03-28 13:51:45","2020-03-28 13:51:45"
29,"Rathmalana","6.8195000","79.8801000","2020-03-28 13:53:12","2020-03-28 13:53:12"
30,"Wattala","6.9907000","79.8932000","2020-03-28 13:54:06","2020-03-28 13:54:06"
31,"Ja-Ela","7.0668000","79.9041000","2020-03-28 13:55:47","2020-03-28 13:55:47"
32,"Niwasipura","7.1027000","79.8976000","2020-03-28 13:57:10","2020-03-28 13:57:10"
33,"Panadura","6.7106000","79.9074000","2020-03-28 13:57:51","2020-03-28 13:57:51"
34,"Wellawaya","6.7377000","81.1031000","2020-03-28 13:58:31","2020-03-28 13:58:31"
35,"Uduvil","9.7341000","80.0106000","2020-03-28 13:59:13","2020-03-28 13:59:13"
36,"Sedawatta","6.9539000","79.8836000","2020-03-28 13:59:42","2020-03-28 13:59:42"
37,"Nugegoda","6.8649000","79.8997000","2020-03-28 14:00:28","2020-03-28 14:00:28"
38,"Maggona","6.5096000","79.9957000","2020-03-28 14:01:15","2020-03-28 14:01:15"
39,"Arukgoda","6.4397000","80.4878000","2020-03-28 14:02:22","2020-03-28 14:02:22"
40,"Himbutana","6.9345000","79.9060000","2020-03-28 14:03:33","2020-03-28 14:03:33"
41,"Kalutara","6.5854000","79.9607000","2020-03-28 14:04:12","2020-03-28 14:04:12"
42,"Boralesgamuwa","6.8410000","79.9017000","2020-03-28 14:05:39","2020-03-28 14:05:39"
43,"Matara","5.9549000","80.5550000","2020-03-28 14:14:54","2020-03-28 14:14:54"
44,"Dankotuwa","7.2975000","79.8822000","2020-03-28 14:15:33","2020-03-28 14:15:33"
45,"Kolonnawa","6.9284000","79.8950000","2020-03-28 14:16:06","2020-03-28 14:16:06"
46,"Wennappuwa","7.3493000","79.8353000","2020-03-28 14:16:31","2020-03-28 14:16:31"
47,"Kalutara-North","6.5977000","79.9544000","2020-03-28 14:17:14","2020-03-28 14:17:14"
48,"Gothatuwa","6.9248000","79.9151000","2020-03-28 14:17:48","2020-03-28 14:17:48"
49,"Colombo 4","6.8961000","79.8571000","2020-03-28 14:19:12","2020-03-28 14:19:12"
